id,tested_positive
0,8.199574
1,9.115605
2,4.827053
3,8.796377
4,17.30795
5,13.33809
6,10.114298
7,13.502055
8,12.787566
9,11.041387
10,6.251911
11,9.978236
12,9.116735
13,16.391596
14,11.790966
15,6.2696934
16,9.246604
17,5.177663
18,7.8313646
19,9.4128065
20,18.947147
21,5.6673098
22,9.087244
23,10.690697
24,13.594702
25,18.397816
26,22.492002
27,8.504161
28,6.7409697
29,15.669634
30,13.709168
31,3.4432127
32,11.44789
33,8.883652
34,8.560843
35,6.0594387
36,13.215147
37,16.389225
38,9.293334
39,14.251943
40,14.788601
41,24.30395
42,5.462229
43,10.446476
44,23.801315
45,22.132038
46,18.036783
47,5.249584
48,10.740607
49,5.79865
50,4.0160465
51,7.873477
52,13.770001
53,15.611816
54,16.559502
55,18.570356
56,15.721237
57,10.132843
58,24.380846
59,7.8984404
60,17.47435
61,18.577744
62,11.337277
63,16.554958
64,19.598614
65,12.193022
66,9.701817
67,5.8995466
68,6.3362856
69,15.287408
70,21.340624
71,18.610826
72,5.7758083
73,10.984885
74,17.364155
75,13.892244
76,16.71305
77,12.69806
78,9.720732
79,16.086208
80,22.999086
81,5.686157
82,22.073395
83,16.262035
84,23.41388
85,8.78594
86,9.510642
87,15.792255
88,26.28036
89,5.1632566
90,14.766366
91,14.549924
92,18.35839
93,20.473392
94,20.945831
95,10.166592
96,31.511658
97,8.644169
98,20.130423
99,18.056877
100,18.174637
101,17.472599
102,8.635711
103,16.071152
104,18.511217
105,12.46186
106,17.34742
107,18.342218
108,6.9286547
109,20.414408
110,22.849524
111,18.479586
112,22.312176
113,21.1649
114,11.985786
115,6.81378
116,19.180206
117,10.558321
118,22.458801
119,16.668121
120,21.15736
121,6.8884706
122,11.512336
123,11.345564
124,18.189146
125,8.5212145
126,11.495559
127,14.650123
128,16.01381
129,9.109792
130,16.258049
131,6.1643486
132,8.684619
133,5.8587074
134,13.084364
135,18.38312
136,16.927523
137,20.081297
138,5.529271
139,12.674292
140,11.260422
141,9.041651
142,10.564009
143,9.744548
144,23.368702
145,8.6652565
146,11.26551
147,16.300217
148,23.909496
149,15.341931
150,12.1960535
151,17.227568
152,11.349719
153,9.028604
154,20.017923
155,13.280916
156,13.643641
157,26.435606
158,20.53907
159,16.370588
160,12.343864
161,15.726455
162,9.343029
163,18.798092
164,9.090626
165,21.11216
166,10.9613695
167,15.034143
168,10.274448
169,5.8900595
170,12.250852
171,13.991777
172,11.876267
173,13.141815
174,22.791054
175,5.5836563
176,5.539158
177,21.85384
178,12.480392
179,12.105354
180,19.126577
181,17.205338
182,8.45964
183,10.669233
184,11.442221
185,11.672273
186,12.839068
187,21.144272
188,6.9845095
189,10.403582
190,6.400717
191,5.153761
192,19.95879
193,9.306422
194,8.965762
195,17.808298
196,18.821646
197,15.710211
198,6.043949
199,20.539486
200,6.32998
201,11.771686
202,21.068598
203,19.204094
204,18.690992
205,8.560306
206,9.394838
207,6.870472
208,10.810354
209,19.23478
210,9.748245
211,12.719131
212,19.275543
213,5.149933
214,15.149401
215,16.47823
216,16.603168
217,10.130648
218,20.323112
219,8.75838
220,7.065915
221,8.895335
222,13.227321
223,20.948063
224,16.264938
225,9.09558
226,4.7771645
227,13.97562
228,14.889556
229,12.363901
230,14.3702
231,5.6271515
232,10.571677
233,18.45641
234,14.220582
235,6.3764553
236,9.665568
237,17.135082
238,10.260979
239,15.530734
240,19.123245
241,14.047179
242,23.06834
243,15.266967
244,8.892526
245,6.150443
246,18.431978
247,9.117421
248,20.46148
249,17.130922
250,17.325993
251,13.746735
252,16.14
253,17.454721
254,13.52206
255,10.059387
256,19.83105
257,11.701334
258,13.622601
259,16.31895
260,15.672457
261,21.471851
262,11.29019
263,10.931181
264,15.587925
265,12.662556
266,15.56481
267,8.090628
268,11.46611
269,17.357489
270,10.951821
271,11.7005825
272,16.753313
273,8.689896
274,16.239206
275,5.6195526
276,15.54265
277,8.223649
278,15.428099
279,8.566919
280,17.19574
281,11.673257
282,12.780757
283,12.803167
284,6.696636
285,14.899408
286,6.48884
287,17.625383
288,10.139683
289,14.359557
290,16.445267
291,9.971563
292,15.457625
293,14.42781
294,14.961991
295,16.293907
296,17.169308
297,12.902944
298,9.1366
299,11.393854
300,17.696507
301,13.998228
302,18.473835
303,15.509732
304,15.518833
305,17.220827
306,16.983416
307,14.603325
308,13.799029
309,17.09414
310,18.672659
311,18.175907
312,15.657141
313,11.414099
314,13.721903
315,9.630625
316,11.520507
317,19.72349
318,13.384976
319,16.927444
320,18.280443
321,8.072554
322,14.895792
323,10.943533
324,9.070252
325,16.608898
326,6.2025337
327,18.384596
328,8.420059
329,12.142578
330,14.952189
331,14.9412
332,13.040265
333,14.767063
334,12.054562
335,9.801055
336,11.135779
337,15.086254
338,10.240518
339,6.261569
340,15.532662
341,15.113806
342,15.504279
343,12.946617
344,5.8542175
345,16.912104
346,11.981285
347,17.14819
348,20.293533
349,7.1979704
350,12.490616
351,11.064096
352,12.799797
353,5.551195
354,12.757049
355,16.936502
356,11.902585
357,17.24882
358,7.1663027
359,4.277734
360,11.337655
361,11.457595
362,14.771565
363,13.461222
364,11.628179
365,13.683355
366,9.338462
367,17.457726
368,5.370549
369,12.546521
370,19.572638
371,10.448963
372,14.098456
373,18.27684
374,15.023918
375,16.186909
376,10.876633
377,15.921485
378,14.749469
379,4.5505724
380,24.26423
381,6.3665743
382,16.11472
383,13.424819
384,15.296631
385,18.947618
386,12.994336
387,12.225816
388,15.390937
389,18.369968
390,15.181133
391,17.132696
392,12.537818
393,10.565778
394,9.754787
395,14.5739975
396,14.347924
397,6.3340187
398,12.158951
399,5.883684
400,12.974011
401,11.192322
402,3.508361
403,5.2449512
404,11.04109
405,14.277676
406,10.71065
407,6.3106146
408,4.8309307
409,6.9680433
410,6.63776
411,9.233631
412,7.4862785
413,13.605968
414,8.103839
415,12.946714
416,6.6612816
417,11.353988
418,6.786664
419,6.552765
420,11.164033
421,6.3307333
422,14.158107
423,7.5311794
424,15.239444
425,6.3830585
426,15.224234
427,6.6174116
428,7.075983
429,13.102284
430,15.078822
431,17.245268
432,6.5998087
433,3.64413
434,9.656912
435,15.065775
436,10.090372
437,4.811633
438,12.052729
439,6.2180777
440,15.499469
441,10.503555
442,10.930142
443,13.767979
444,7.0813274
445,18.518429
446,12.166108
447,15.976209
448,11.297486
449,11.546642
450,7.700321
451,8.190389
452,12.840348
453,12.155221
454,8.232404
455,13.709861
456,15.495517
457,11.393672
458,15.885957
459,6.9367933
460,16.965626
461,7.9343605
462,5.513549
463,6.2432804
464,6.952962
465,5.7925673
466,10.896135
467,16.55009
468,7.4971933
469,11.414539
470,9.745942
471,13.107081
472,11.04946
473,8.078133
474,11.273777
475,15.393124
476,6.468274
477,5.3835697
478,7.5772734
479,8.9476595
480,17.629404
481,15.48657
482,8.912835
483,12.653163
484,10.076341
485,17.59934
486,11.589312
487,9.821254
488,13.937382
489,15.045731
490,9.244794
491,6.7478037
492,11.740261
493,10.776331
494,16.32577
495,3.5557518
496,17.73888
497,14.983889
498,8.131625
499,12.143948
500,5.30828
501,7.721691
502,17.116205
503,15.663801
504,13.686961
505,9.836603
506,15.111991
507,6.2662334
508,10.591547
509,4.540838
510,9.225188
511,20.638653
512,10.327338
513,8.727619
514,6.17628
515,5.9786434
516,19.58381
517,5.3111305
518,12.994529
519,17.727285
520,9.035831
521,11.04529
522,5.1811266
523,6.777691
524,7.753787
525,20.848812
526,10.85343
527,15.771637
528,6.9643307
529,13.679096
530,11.383295
531,6.667691
532,4.1030173
533,17.749546
534,7.3776493
535,16.603815
536,9.651229
537,8.840753
538,8.962013
539,14.741723
540,9.681695
541,17.624231
542,16.176832
543,11.104039
544,14.776386
545,9.032459
546,10.089998
547,11.498152
548,7.8002825
549,12.474943
550,8.401736
551,10.710203
552,9.072765
553,9.380265
554,3.4303033
555,15.103955
556,11.279058
557,8.296027
558,11.887004
559,10.510174
560,18.311718
561,10.378256
562,6.6154156
563,12.717447
564,5.087656
565,7.1044626
566,8.969395
567,16.397093
568,7.02884
569,8.78761
570,7.3210087
571,11.701234
572,17.526438
573,10.329318
574,17.631731
575,9.2998
576,15.987428
577,5.0395927
578,6.2409163
579,7.9520683
580,7.750578
581,5.898925
582,6.5608644
583,7.4125805
584,8.433596
585,6.744672
586,9.218156
587,4.514559
588,12.889043
589,8.565059
590,8.667311
591,15.284279
592,5.7261543
593,7.369156
594,6.7064962
595,7.0677414
596,8.03333
597,9.266305
598,6.249031
599,8.764628
600,10.266176
601,15.225001
602,7.826538
603,4.9950905
604,10.109548
605,16.43028
606,7.379798
607,10.054616
608,9.366313
609,14.623499
610,14.924816
611,8.425633
612,13.196334
613,3.8607743
614,14.729116
615,7.543455
616,7.7796907
617,14.521613
618,7.172574
619,15.985368
620,7.7488623
621,8.181312
622,12.677202
623,8.353211
624,8.682454
625,6.3671284
626,16.198078
627,19.429987
628,5.2619495
629,9.756361
630,5.964637
631,15.345619
632,9.422957
633,16.43881
634,7.775219
635,10.585559
636,12.627159
637,17.594677
638,8.257942
639,18.071856
640,7.9082403
641,20.894432
642,8.312411
643,8.051395
644,7.9515886
645,9.943213
646,6.124213
647,13.090665
648,8.854249
649,6.1849174
650,14.169882
651,5.8761206
652,9.086896
653,20.07176
654,15.536549
655,9.613978
656,13.448141
657,23.573772
658,14.0057535
659,17.024828
660,13.405038
661,6.557435
662,27.564627
663,8.283226
664,23.896378
665,14.807472
666,9.962005
667,13.513839
668,17.875214
669,8.531884
670,12.539784
671,11.434322
672,11.458552
673,12.483127
674,7.662307
675,21.783695
676,16.495071
677,16.668434
678,8.13754
679,13.527755
680,7.1020346
681,8.347146
682,28.862751
683,29.806955
684,7.273986
685,17.697378
686,12.449826
687,12.6146145
688,5.599889
689,5.310934
690,12.6144905
691,9.082268
692,21.194172
693,11.407294
694,6.6831636
695,22.242496
696,6.4946394
697,18.929005
698,15.091042
699,21.676794
700,9.804659
701,12.639175
702,11.284766
703,4.3664675
704,10.522715
705,16.173307
706,9.111426
707,10.314426
708,6.466428
709,25.03201
710,17.674734
711,9.7124195
712,4.813052
713,11.3635645
714,15.258665
715,7.1389065
716,13.270726
717,17.454992
718,6.5050488
719,9.597487
720,8.565973
721,14.958655
722,10.841567
723,11.94086
724,14.910216
725,15.467983
726,9.705265
727,14.850627
728,11.359005
729,4.533256
730,22.863111
731,4.9335947
732,6.9805374
733,23.869707
734,8.195718
735,11.591846
736,14.093554
737,14.213631
738,7.8235445
739,6.0440865
740,6.621625
741,14.537921
742,11.760507
743,5.786008
744,10.303887
745,17.89818
746,15.067945
747,14.937503
748,6.5271378
749,9.55329
750,7.6365404
751,8.891021
752,11.308488
753,4.1828985
754,11.177822
755,14.122252
756,12.65357
757,5.703554
758,8.80216
759,10.327885
760,17.566002
761,8.535283
762,8.981592
763,14.49174
764,10.4047785
765,4.482545
766,12.982437
767,10.509754
768,12.800005
769,5.393544
770,20.862915
771,12.682428
772,14.776876
773,15.94037
774,9.333234
775,11.602761
776,7.657716
777,20.123444
778,8.4708605
779,13.772881
780,18.820292
781,7.850072
782,24.116568
783,11.743682
784,15.592495
785,15.673163
786,13.687535
787,10.693125
788,8.848391
789,8.143061
790,10.247013
791,8.775467
792,12.616383
793,6.1095123
794,9.09324
795,6.558243
796,14.231772
797,11.72104
798,16.482311
799,9.812501
800,10.362162
801,14.77294
802,9.566069
803,9.878409
804,11.006664
805,5.879922
806,20.568779
807,14.479112
808,12.612737
809,19.66323
810,18.074694
811,16.821539
812,21.277668
813,14.269277
814,10.505911
815,18.339924
816,17.663755
817,16.765202
818,17.510971
819,9.024729
820,16.450474
821,4.516877
822,14.307452
823,23.239891
824,15.659759
825,8.319665
826,7.7751923
827,9.595975
828,8.734891
829,19.610144
830,6.8574715
831,13.449602
832,25.918911
833,11.182482
834,18.029222
835,30.351067
836,10.200068
837,22.229967
838,21.95329
839,11.472944
840,26.800098
841,19.887915
842,12.514153
843,9.531637
844,28.964067
845,12.081456
846,10.957084
847,16.176964
848,7.0578785
849,9.323853
850,18.038582
851,13.244011
852,22.356432
853,13.433949
854,11.5975275
855,6.9349174
856,16.61521
857,9.009116
858,9.881881
859,19.590654
860,23.913715
861,26.91943
862,17.566235
863,22.522593
864,21.4121
865,22.765203
866,16.336721
867,24.110744
868,26.460651
869,21.536436
870,8.54866
871,25.390072
872,29.23006
873,29.799244
874,6.7786684
875,27.840548
876,14.108493
877,27.037146
878,11.506837
879,18.920818
880,21.085186
881,21.76305
882,9.664371
883,13.227432
884,30.067078
885,16.47853
886,18.172783
887,23.918854
888,10.535083
889,12.980682
890,9.980495
891,20.497997
892,15.893855
893,12.915873
894,36.32162
895,8.225972
896,17.921589
897,25.513002
898,21.318222
899,33.74993
900,23.04136
901,6.5866356
902,24.707178
903,17.923918
904,20.890865
905,7.8754244
906,31.125963
907,20.966248
908,10.246173
909,9.84105
910,31.696178
911,30.930628
912,33.9933
913,10.043253
914,20.524204
915,41.262978
916,15.471106
917,12.823559
918,24.476347
919,22.579016
920,17.25028
921,16.833296
922,17.414602
923,44.273937
924,17.692743
925,8.407299
926,25.128717
927,22.818476
928,26.743126
929,13.943878
930,18.582043
931,45.18587
932,11.929719
933,29.51362
934,26.06667
935,12.458055
936,10.328589
937,25.918114
938,18.649542
939,25.611486
940,22.412613
941,33.5119
942,20.318632
943,32.787178
944,17.943804
945,24.319017
946,23.738886
947,35.592754
948,26.399948
949,8.387117
950,30.382647
951,41.29822
952,20.111609
953,13.513292
954,20.992426
955,27.7133
956,31.565182
957,15.751232
958,19.756931
959,23.321451
960,7.5857506
961,30.319332
962,26.459522
963,23.788912
964,30.963207
965,21.907034
966,11.122175
967,27.15151
968,30.198515
969,25.08805
970,23.913044
971,20.277103
972,24.27252
973,17.22504
974,18.528252
975,30.87849
976,8.960995
977,32.848747
978,18.758743
979,33.851765
980,12.7958975
981,20.031443
982,30.766289
983,21.548859
984,36.863697
985,11.991448
986,35.35989
987,21.906902
988,19.91522
989,35.3313
990,28.58155
991,19.860224
992,27.364704
993,25.701687
994,14.552822
995,32.32495
996,39.785465
997,33.09744
998,16.492468
999,28.354826
1000,6.7037697
1001,12.045564
1002,28.47662
1003,30.897366
1004,7.6219454
1005,27.222206
1006,25.793438
1007,16.023542
1008,18.40985
1009,22.163345
1010,22.138454
1011,26.39637
1012,20.249758
1013,35.382153
1014,30.828764
1015,26.906857
1016,26.208736
1017,26.81701
1018,18.815012
1019,21.76012
1020,17.86082
1021,30.268578
1022,41.07864
1023,25.820236
1024,32.91296
1025,32.588306
1026,19.84469
1027,17.273075
1028,30.799664
1029,36.17178
1030,11.376405
1031,26.801647
1032,13.281774
1033,16.931694
1034,25.18239
1035,31.82831
1036,32.76669
1037,12.420863
1038,14.336689
1039,13.280408
1040,33.081436
1041,16.139582
1042,33.941174
1043,37.255524
1044,17.186745
1045,33.779747
1046,19.40947
1047,18.062868
1048,32.55523
1049,24.867125
1050,27.955973
1051,31.275501
1052,16.535067
1053,31.245275
1054,32.48291
1055,37.974373
1056,21.986086
1057,25.442055
1058,23.679081
1059,32.078293
1060,37.482296
1061,25.591671
1062,35.88074
1063,27.791927
1064,32.095966
1065,20.777027
1066,29.618721
1067,21.769043
1068,24.954859
1069,28.584162
1070,25.02551
1071,28.380598
1072,37.1262
1073,33.846935
1074,32.72691
1075,35.349396
1076,34.193474
1077,38.32849
